qid	mention	entity	set_id
trec-2010-101_1	the music man	<dbpedia:The_Music_Man>	0
trec-2010-102_2	obama's	<dbpedia:Barack_Obama>	0
trec-2010-104_1	hoboken	<dbpedia:Hoboken,_New_Jersey>	0
trec-2010-104_2	hoboken	<dbpedia:Hoboken,_New_Jersey>	0
trec-2010-105_1	orange county convention center	<dbpedia:Orange_County_Convention_Center>	0
trec-2010-105_2	orange county convention center	<dbpedia:Orange_County_Convention_Center>	0
trec-2010-109_1	windows	<dbpedia:Microsoft_Windows>	0
trec-2010-109_2	defender	<dbpedia:Windows_Defender>	0
trec-2010-111_1	inauguration	<dbpedia:United_States_presidential_inauguration>	0
trec-2010-111_1	obama	<dbpedia:Barack_Obama>	0
trec-2010-111_1	rick warren	<dbpedia:Rick_Warren>	0
trec-2010-111_2	rick warren	<dbpedia:Rick_Warren>	0
trec-2010-112_1	rincon puerto rico	<dbpedia:Rincón,_Puerto_Rico>	0
trec-2010-112_2	rincon puerto rico	<dbpedia:Rincón,_Puerto_Rico>	0
trec-2010-118_2	obama	<dbpedia:Barack_Obama>	0
trec-2010-119_1	atari	<dbpedia:Atari>	0
trec-2010-119_2	atari	<dbpedia:Atari>	0
trec-2010-121_1	music man	<dbpedia:The_Music_Man>	0
trec-2010-121_2	music man	<dbpedia:The_Music_Man>	0
trec-2010-122_1	gps devices	<dbpedia:GPS_navigation_device>	0
trec-2010-122_2	garmin	<dbpedia:Garmin>	0
trec-2010-124_1	patriots point museum	<dbpedia:Patriots_Point>	0
trec-2010-124_2	uss yorktown	<dbpedia:USS_Yorktown_(CV-10)>	0
trec-2010-126_1	evergreen solar	<dbpedia:Evergreen_Solar>	0
trec-2010-12_1	kohler	<dbpedia:Kohler_Company>	0
trec-2010-130_2	sprint	<dbpedia:Sprint_Nextel>	0
trec-2010-132_1	disneyland	<dbpedia:Disneyland>	0
trec-2010-132_2	disneyland	<dbpedia:Disneyland>	0
trec-2010-135_2	evergreen	<dbpedia:Evergreen_Solar>	0
trec-2010-142_2	michigan	<dbpedia:Michigan>	0
trec-2010-143_2	obama	<dbpedia:Barack_Obama>	0
trec-2010-145_1	american standard	<dbpedia:American_Standard_Brands>	0
trec-2010-145_2	kohler	<dbpedia:Kohler_Company>	0
trec-2010-146_1	atari	<dbpedia:Atari>	0
trec-2010-146_2	atari arcade	<dbpedia:Atari_Games>	0
trec-2010-147_1	afghanistan	<dbpedia:Afghanistan>	0
trec-2010-147_2	afghanistan	<dbpedia:Afghanistan>	0
trec-2010-148_2	arizona	<dbpedia:Arizona>	0
trec-2010-15_2	french lick resort and casino	<dbpedia:French_Lick_Resort_Casino>	0
trec-2010-16_1	disneyland	<dbpedia:Disneyland>	0
trec-2010-16_2	disneyland	<dbpedia:Disneyland>	0
trec-2010-21_1	comcast	<dbpedia:Comcast>	0
trec-2010-22_2	bbc	<dbpedia:BBC>	0
trec-2010-22_2	walking with dinosaurs	<dbpedia:Walking_with_Dinosaurs>	0
trec-2010-23_2	ps 2	<dbpedia:PlayStation_2>	0
trec-2010-25_1	bart	<dbpedia:Bay_Area_Rapid_Transit>	0
trec-2010-25_2	bart	<dbpedia:Bay_Area_Rapid_Transit>	0
trec-2010-27_1	volvo	<dbpedia:Volvo>	0
trec-2010-27_2	volvo	<dbpedia:Volvo_Trucks>	0
trec-2010-28_1	autozone.com	<dbpedia:AutoZone>	0
trec-2010-2_1	hoboken	<dbpedia:Hoboken,_New_Jersey>	0
trec-2010-2_2	hoboken	<dbpedia:Hoboken,_New_Jersey>	0
trec-2010-30_1	mitchell college	<dbpedia:Mitchell_College>	0
trec-2010-30_2	mitchell college	<dbpedia:Mitchell_College>	0
trec-2010-33_1	starbucks	<dbpedia:Starbucks>	0
trec-2010-33_2	starbucks	<dbpedia:Starbucks>	0
trec-2010-34_1	espn	<dbpedia:ESPN>	0
trec-2010-34_1	nba	<dbpedia:National_Basketball_Association>	0
trec-2010-34_2	nba	<dbpedia:National_Basketball_Association>	0
trec-2010-36_1	the sun	<dbpedia:The_Sun_(United_Kingdom)>	0
trec-2010-36_2	the sun	<dbpedia:The_Sun_(United_Kingdom)>	0
trec-2010-41_2	kcs petrohawk	<dbpedia:Petrohawk>	0
trec-2010-42_1	er	<dbpedia:ER_(TV_series)>	0
trec-2010-42_2	er	<dbpedia:ER_(TV_series)>	0
